Altium Designer Pick and Place Locations
C:\Users\Administrator\Desktop\µçÂ·\breeze_electronics_design\altium\Project Outputs for breeze_electronics_design\Pick Place for breeze_pcb.txt

========================================================================================================================
File Design Information:

Date:       20/04/25
Time:       09:59
Revision:   0def11d7efc7fd1f6b06eb3a9a8da967e8979e83
Variant:    No variations
Units used: mm

Designator Comment       Layer       Footprint         Center-X(mm) Center-Y(mm) Rotation Description                                                              
LOGO2      Comment       TopLayer    LOGO_MAG          -73.6120     -62.1820     0        ""                                                                       
LOGO1      Comment       TopLayer    LOGO_ACC_GYR      -73.6120     -62.1820     0        ""                                                                       
LOGO3      Comment       TopLayer    LOGO_TEAM_OVERLAY -73.6120     -62.1820     0        ""                                                                       
S1         SKRELGE010    TopLayer    SKRELGE010        45.7200      23.7490      0        Switch                                                                   
C40        CAP-0603      BottomLayer SMD-0603          47.2440      41.0210      270      Capacitor                                                                
Y2         XTAL-5032     BottomLayer SMD-5032          56.5150      43.4340      270      "Passive Crystal Oscillator"                                             
P8         HDR-1X10      TopLayer    HDR-1X10          65.7860      46.9900      90       "Header 1X10"                                                            
R4         RES-0603      TopLayer    SMD-0603          69.5960      29.2100      180      Resistor                                                                 
D4         BAT54KFILM    TopLayer    SOD-523           74.4220      19.5580      225      "Schottky Diode"                                                         
A1         AN9520        TopLayer    AN9520            46.9646      69.5960      180      "2.4GHz Wireless Communication Antenna"                                  
B1         BAT           TopLayer    HDR-1X2           40.1320      23.6220      360      Battery                                                                  
C1         CAP-0603      TopLayer    SMD-0603          35.6870      55.1180      0        Capacitor                                                                
C2         CAP-0603      TopLayer    SMD-0603          38.2270      38.8620      180      Capacitor                                                                
C3         CAP-0603      TopLayer    SMD-0603          38.1000      51.0540      90       Capacitor                                                                
C4         CAP-0603      TopLayer    SMD-0603          38.1000      41.0210      90       Capacitor                                                                
C5         CAP-0603      TopLayer    SMD-0603          37.4650      44.3230      0        Capacitor                                                                
C6         CAP-0603      TopLayer    SMD-0603          35.1790      44.9580      270      Capacitor                                                                
C7         CAP-0603      TopLayer    SMD-0603          37.4650      46.6090      0        Capacitor                                                                
C8         CAP-0603      TopLayer    SMD-0603          36.1950      63.7540      180      Capacitor                                                                
C9         CAP-0603      TopLayer    SMD-0603          40.8940      64.6430      270      Capacitor                                                                
C10        CAP-0603      TopLayer    SMD-0603          40.8940      60.3250      270      Capacitor                                                                
C11        CAP-0603      TopLayer    SMD-0603          44.1960      57.9120      180      Capacitor                                                                
C12        CAP-0603      TopLayer    SMD-0603          47.2440      62.4840      90       Capacitor                                                                
C13        CAP-0603      TopLayer    SMD-0603          48.6410      50.6730      180      Capacitor                                                                
C14        CAP-0603      TopLayer    SMD-0603          48.7680      62.4840      90       Capacitor                                                                
C15        CAP-0603      TopLayer    SMD-0603          48.0060      66.5480      180      Capacitor                                                                
C16        CAP-0603      TopLayer    SMD-0603          53.3400      66.5480      360      Capacitor                                                                
C17        CAP-0603      TopLayer    SMD-0603          56.6420      53.9750      90       Capacitor                                                                
C18        CAP-0603      TopLayer    SMD-0603          53.3400      61.7220      360      Capacitor                                                                
C19        CAP-0603      TopLayer    SMD-0603          53.3400      64.2620      360      Capacitor                                                                
C20        CAP-0603      BottomLayer SMD-0603          43.6880      31.6230      90       Capacitor                                                                
